Project;Package;Class;Method;Version;LOC;Statement;Cyclomatic;Cognitive;MethodHistories;AddedLines;MaxAddedLines;AvgAddedLines;DeletedLines;MaxDeletedLines;AvgDeletedLines;Churn;MaxChurn;AvgChurn;BranchPoints;NestingDepth;ParametersCount;Buggy
BOOKKEEPER;org.apache.hedwig.client.api;Subscriber;consume;4.0.0;0;0;1;0;1;1;1;1,00;0;0;0,00;1;1;1,00;0;0;3;false
BOOKKEEPER;org.apache.hedwig.client.api;Subscriber;consume;4.1.0;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;3;false
BOOKKEEPER;org.apache.hedwig.client.api;Subscriber;consume;4.1.1;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;3;false
BOOKKEEPER;org.apache.hedwig.client.api;Subscriber;consume;4.2.0;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;3;true
BOOKKEEPER;org.apache.hedwig.client.api;Subscriber;consume;4.2.1;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;3;true
BOOKKEEPER;org.apache.hedwig.jms.message.header;Builder;setShortValue;4.2.1;4;4;1;0;1;5;5;5,00;0;0;0,00;5;5;5,00;0;1;1;true
BOOKKEEPER;org.apache.hedwig.protocol;Builder;mergePublishRequest;4.0.0;6;5;3;2;1;10;10;10,00;0;0;0,00;10;10;10,00;2;3;1;true
BOOKKEEPER;org.apache.hedwig.protocol;Builder;mergePublishRequest;4.1.0;6;5;3;2;0;0;0;0,00;0;0;0,00;0;0;0,00;2;3;1;true
BOOKKEEPER;org.apache.hedwig.protocol;Builder;mergePublishRequest;4.1.1;10;8;4;4;1;11;11;11,00;5;5;5,00;16;16;16,00;3;5;1;false
BOOKKEEPER;org.apache.hedwig.protocol;Builder;mergePublishRequest;4.2.0;10;8;4;4;0;0;0;0,00;0;0;0,00;0;0;0,00;3;5;1;true
BOOKKEEPER;org.apache.hedwig.protocol;Builder;mergePublishRequest;4.2.1;10;8;4;4;0;0;0;0,00;0;0;0,00;0;0;0,00;3;5;1;true
